Entry,D_3_T_23_adj.ChiSq.pval,D_3_T_29_adj.ChiSq.pval,D_5_T_23_adj.ChiSq.pval,D_5_T_29_adj.ChiSq.pval,D_7_T_23_adj.ChiSq.pval,D_7_T_29_adj.ChiSq.pval,D_9_T_23_adj.ChiSq.pval,D_9_T_29_adj.ChiSq.pval,D_11_T_23_adj.ChiSq.pval,D_11_T_29_adj.ChiSq.pval,D_13_T_23_adj.ChiSq.pval,D_13_T_29_adj.ChiSq.pval
O34384,0.986700297417779,0.601464722178075,0.00989859929435573,0.00132795899300535,0.00064986749538156,0.00315074202344386,0.000209924405539898,0.000265178283191364,0.00129521733985106,0.000394686639513275,0.114250294757757,8.96243571608875e-05
Q39565,0.986700297417779,0.0066707767805554,0.0034933098083587,0.000407927899786753,0.000947283257716285,0.00132123193906359,0.00109498007074614,1.09404927495512e-05,1.88605197549288e-05,1.80951038879393e-05,0.00246272341993463,0.000380996241922393
P0C6F1,0.165669630347341,1.44448674951532e-07,3.33116182472811e-06,1.6488807148214e-07,7.22439119548524e-07,2.26649101834326e-06,1.07424685878723e-09,3.65691064335459e-13,4.45100418302724e-12,1.31429510890346e-12,1.90747576889213e-06,1.56131757760468e-11
Q9SRE0,0.986700297417779,0.0332580281672578,0.00349280392569099,7.30977900792503e-06,4.12995992010351e-06,0.000690639115824908,7.85495332214752e-11,5.36331940105889e-07,1.05544315858523e-08,0.000720965086509005,0.00901046395951702,0.281421644814975
O43247,0.986700297417779,0.111146694761609,0.0735093645963326,0.094879096911689,0.0703595673149875,0.13989758816483,0.0699225358641646,0.07366380639797,0.0882845029156592,0.0825574116296307,0.359665824743414,0.0443224480966819
P38024,0.986700297417779,0.111146694761609,0.0267177386757992,0.0118185031234403,0.0248234408747223,0.0650506429752328,0.00553527610940386,0.0112517550500074,0.00782489162115423,0.0879387030097143,0.180785672961496,0.236769544736243
Q99P25,0.986700297417779,0.0587364070452284,0.389514555224783,0.0228110014365093,0.541056022852036,0.19279713254258,0.00510554951378636,0.00574944557219747,0.0545520026131912,0.021201684822887,0.122515171031454,0.0467639871951751
Q5PPV2,0.986700297417779,0.0066707767805554,0.0016754905269053,0.00100967195771267,0.00411513199741979,0.00648484844904786,0.000178728365714628,3.28469299888089e-05,0.000159135759780173,5.63499018717547e-05,0.000389103818275422,2.2846752599558e-05
Q3U492,0.986700297417779,0.648568383669611,0.982201279174495,0.973152018906767,0.165970102615057,0.938232478990227,0.231626517635913,0.129532972424853,0.109125673307963,0.940521446080403,0.684140636662792,0.0203233550204338
Q5THR3,0.986700297417779,0.510990841066584,0.0303054072470904,0.260083394199554,0.0361233033525703,0.0541089972263945,0.240661295358075,1.55036607514371e-06,0.000347660755911295,0.00222202637862232,0.0017382834013011,0.0333210264367393
