Var1,Var2,value,type
GO:0004090,GO:0004450,0.74680696329701,term-term
GO:0001726,GO:0005929,0.706775243770761,term-term
GO:0031514,GO:0005929,0.942591115767012,term-term
GO:0003677,GO:0003729,0.734767769565777,term-term
GO:0003723,GO:0003729,0.860212337751168,term-term
GO:0003730,GO:0003729,0.915845428800232,term-term
GO:0000122,GO:0010629,0.905847228729317,term-term
GO:0005178,GO:0005518,0.762359956305517,term-term
GO:0016021,GO:0031225,0.888257097504389,term-term
GO:0005783,GO:0005777,0.716793218071379,term-term
GO:0000786,GO:0000790,0.80410312595842,term-term
GO:0004556,GO:0004568,0.772570772231122,term-term
GO:0003796,GO:0004568,0.772570772231122,term-term
GO:0004066,GO:0004823,0.8447554003178,term-term
GO:0030435,GO:0030436,0.90205156297921,term-term
GO:0006869,GO:0015986,0.702913290579002,term-term
GO:0006030,GO:0015986,0.719314230921824,term-term
GO:0006777,GO:0015986,0.742518975491463,term-term
GO:0006855,GO:0015986,0.812355235019006,term-term
GO:0003774,GO:0003918,0.772570772231122,term-term
GO:0003924,GO:0003918,0.772570772231122,term-term
GO:0003755,GO:0003918,0.8447554003178,term-term
GO:0003756,GO:0003918,0.8447554003178,term-term
GO:0000272,GO:0005978,0.80410312595842,term-term
GO:0002181,GO:0005978,0.725023973221836,term-term
GO:0019013,GO:0055036,0.8447554003178,term-term
GO:0000275,GO:0005751,0.80410312595842,term-term
GO:0005747,GO:0005751,0.8447554003178,term-term
GO:0002181,GO:0006412,0.948503795098293,term-term
GO:0015986,GO:0006412,0.706775243770761,term-term
GO:0005978,GO:0006412,0.762359956305517,term-term
GO:0004129,GO:0009055,0.948503795098293,term-term
GO:0001530,GO:0008289,0.891415922281321,term-term
GO:0005783,GO:0005739,0.716793218071379,term-term
GO:0004867,GO:0004864,0.725023973221836,term-term
GO:0004869,GO:0004864,0.762359956305517,term-term
GO:0004129,GO:0005244,0.74680696329701,term-term
GO:0003723,GO:0003743,0.778661541441698,term-term
GO:0003746,GO:0003743,0.90205156297921,term-term
GO:0005758,GO:0005788,0.785264687700975,term-term
GO:0000303,GO:0000302,0.871695262422377,term-term
GO:0004090,GO:0016616,0.855053797000499,term-term
GO:0016491,GO:0016616,0.824828534639822,term-term
GO:0004450,GO:0016616,0.855053797000499,term-term
GO:0005783,GO:0005794,0.716793218071379,term-term
GO:0005874,GO:0000235,0.915845428800232,term-term
GO:0002161,GO:0016891,0.8447554003178,term-term
GO:0004341,GO:0016891,0.8447554003178,term-term
GO:0001666,GO:0009408,0.764380694999684,term-term
GO:0005509,GO:0005507,0.785264687700975,term-term
GO:0000287,GO:0005507,0.785264687700975,term-term
GO:0004867,GO:0030414,0.871695262422377,term-term
GO:0004869,GO:0030414,0.922680602052388,term-term
GO:0005094,GO:0030414,0.719348105368961,term-term
GO:0004864,GO:0030414,0.818047983843549,term-term
GO:0000226,GO:0007288,0.891415922281321,term-term
GO:0060271,GO:0007288,0.845511385294878,term-term
GO:0005509,GO:0046872,0.855053797000499,term-term
GO:0000287,GO:0046872,0.855053797000499,term-term
GO:0005507,GO:0046872,0.905847228729317,term-term
GO:0005978,GO:0006120,0.80410312595842,term-term
GO:0005509,GO:0008270,0.74680696329701,term-term
GO:0000287,GO:0008270,0.74680696329701,term-term
GO:0005507,GO:0008270,0.888257097504389,term-term
GO:0046872,GO:0008270,0.855053797000499,term-term
GO:0005783,GO:0005764,0.716793218071379,term-term
GO:0004499,GO:0004656,0.8447554003178,term-term
GO:0001534,GO:0001520,0.74680696329701,term-term
GO:0005874,GO:0001520,0.809654183062271,term-term
GO:0002080,GO:0001520,0.725023973221836,term-term
GO:0000235,GO:0001520,0.74680696329701,term-term
GO:0000272,GO:0010391,0.80410312595842,term-term
GO:0005978,GO:0010391,0.80410312595842,term-term
GO:0002080,GO:0002081,0.80410312595842,term-term
GO:0001520,GO:0002081,0.725023973221836,term-term
GO:0004867,GO:0008191,0.80410312595842,term-term
GO:0004869,GO:0008191,0.845511385294878,term-term
GO:0004864,GO:0008191,0.725023973221836,term-term
GO:0030414,GO:0008191,0.871695262422377,term-term
GO:0001664,GO:0005102,0.836745509325725,term-term
GO:0005125,GO:0005102,0.787039659177554,term-term
GO:0005178,GO:0005102,0.787039659177554,term-term
GO:0005186,GO:0005102,0.787039659177554,term-term
