protein,TempPC2,TimePC12,TimexTempPC12
CHOYP_contig_023710.m.26965,NA,0.0392047199435066,0.0412357877091896
CHOYP_contig_023897.m.27203,NA,0.0301446278276619,0.0331430300411353
CHOYP_contig_025149.m.28635,NA,0.057885940179715,0.0678967143188362
CHOYP_contig_025398.m.28945,NA,NA,0.0323813999697154
CHOYP_contig_025684.m.29301,NA,0.0356957443460673,NA
CHOYP_contig_026477.m.30166,NA,0.0391176963099808,0.037316564662705
CHOYP_contig_026567.m.30260,NA,0.0847984839868376,0.0553942067397834
CHOYP_contig_026723.m.30427,NA,0.0336963033624628,0.0366869583067358
CHOYP_contig_027304.m.31034,NA,0.0519189599986428,0.0521079265494502
CHOYP_contig_032576.m.37192,NA,0.0301703541149028,NA
CHOYP_contig_033285.m.37973,-0.0359858695672451,0.030249191063608,NA
CHOYP_contig_038370.m.43386,NA,0.0510703626837855,0.0406336079178371
CHOYP_contig_039285.m.44499,NA,0.0495937028111808,0.0383929255493393
CHOYP_contig_039966.m.45203,NA,NA,0.0283558665736516
CHOYP_contig_041958.m.48141,0.101843414640863,0.209384767393093,0.139235768109041
CHOYP_contig_043238.m.49940,NA,0.0414076263175668,0.0443579531908202
CHOYP_contig_043813.m.50619,0.0391189829530024,NA,NA
CHOYP_contig_045248.m.52574,NA,NA,0.0279810304794618
CHOYP_contig_045550.m.53021,-0.0321104063291361,0.174898659539618,0.0911406161390653
CHOYP_contig_047707.m.56320,NA,0.0376541100922759,0.0396829437375981
CHOYP_contig_048973.m.58107,NA,NA,0.0254346871512284
CHOYP_contig_052416.m.62821,0.0295990762760002,0.0339602141817412,NA
CHOYP_contig_055984.m.66583,NA,0.0576448210874602,0.0366905573566694
CHOYP_COX5B.3.3.m.38557,NA,0.0352291748089886,0.0385481312427937
CHOYP_CPIPJ_CPIJ012408.1.1.m.10724,NA,0.0335074734548289,0.0283305799614846
CHOYP_CTL2.1.2.m.3858,NA,NA,0.0513821124132211
CHOYP_CUL3B.1.1.m.61644,-0.0273866187989377,NA,0.0682291781851407
CHOYP_CYC.1.5.m.5663,-0.0275715841308761,0.0612312846652219,0.0519744813487112
CHOYP_CYIIB.2.2.m.64544,0.0304281418830412,NA,NA
CHOYP_CYT5.1.1.m.29962,NA,NA,0.0278905972318464
CHOYP_CYTA.1.1.m.10540,NA,0.0297384325828134,0.0320233479632099
CHOYP_DGRI_GH15313.1.1.m.5763,0.0629810599996957,0.0272368512013285,0.0499245350762077
CHOYP_DMBT1.13.34.m.27666,NA,0.0253733081001176,NA
CHOYP_DPSE_GA27121.1.1.m.6089,NA,0.0279459925786851,NA
CHOYP_DSEC_GM19691.1.1.m.30070,0.0427726485938621,NA,NA
CHOYP_DSIM_GD13062.1.1.m.3175,NA,0.0263913621285881,NA
CHOYP_DSIM_GD13354.1.1.m.6235,NA,NA,0.0601545038996949
CHOYP_DSIM_GD24875.1.1.m.66201,0.0350702678606178,0.0922030431623546,NA
CHOYP_DUOX1.4.4.m.44613,NA,0.0270625363129989,0.0270150335672396
CHOYP_DVIR_GJ21252.1.1.m.10086,0.0280082829539478,NA,NA
CHOYP_DVIR_GJ23521.1.1.m.2757,-0.0306120373983273,0.0446756506007748,0.0462943283809389
CHOYP_DWIL_GK25045.1.2.m.9225,0.0331612583123446,NA,NA
CHOYP_DYNLL2.2.2.m.37356,0.028449280129339,NA,0.0684363659622221
CHOYP_EF1A.2.4.m.50858,0.0572131940700395,0.0990281165874052,0.153900639060392
CHOYP_EF1G.3.3.m.63510,NA,0.0364584536482009,0.0263012889115453
CHOYP_EF2.4.5.m.30186,NA,0.0678332537919975,0.0831430013265382
CHOYP_EF2.5.5.m.39855,NA,0.0596730873138562,NA
CHOYP_EIF1B.1.3.m.29107,-0.0371837802624704,NA,NA
CHOYP_EIF5A.1.3.m.22684,-0.0921768521630745,0.0268995834952857,0.128767880948336
CHOYP_ELOB.1.1.m.56270,NA,NA,0.0361250091309471
CHOYP_ENO.1.2.m.7681,0.0297243839961586,0.027468258574844,0.0347291155901311
CHOYP_FABP6.2.2.m.59518,NA,NA,0.0370860376381495
CHOYP_FABP7.2.2.m.29096,NA,0.0867093906256071,0.028036302544151
CHOYP_FAF2.1.1.m.54271,0.0314548615032996,NA,NA
CHOYP_FLNA.2.6.m.11845,0.0569765759650289,NA,0.0765830007993336
CHOYP_FLNC.2.5.m.37450,-0.0263378669662181,NA,0.0366438804596352
CHOYP_FUCL1.1.1.m.28893,NA,NA,0.0418570948457948
CHOYP_GBLP.3.7.m.20931,-0.0342287658083357,0.0873174543551781,0.114543419372542
CHOYP_GELS2.2.2.m.30443,0.0367845668020625,0.0955286336108366,NA
CHOYP_GIGA6.1.1.m.38687,NA,0.0431093599832556,0.0455298950437447
CHOYP_GLIPR1L1.1.1.m.41745,NA,0.0391953703912503,NA
CHOYP_GRP78.2.5.m.33058,NA,0.0275370223748411,NA
CHOYP_GST7.1.1.m.59335,-0.0504148684611955,0.0933194999568943,0.0294400102788842
CHOYP_GSTP1.2.2.m.30099,NA,0.0338610045218853,NA
CHOYP_H2AV.1.7.m.12182,NA,0.0263291468153555,NA
CHOYP_H3.1.2.m.3829,NA,0.0385907662110422,0.0411371419774188
CHOYP_HN1L.2.2.m.9837,-0.0409311433028623,NA,NA
CHOYP_HSP7D.2.3.m.34782,0.0405722519623548,0.0459406554748605,0.0399207559820537
CHOYP_HSP90AA1.1.1.m.14867,NA,0.0282849629454365,NA
CHOYP_IMSP5.2.2.m.17779,0.0277833506791397,NA,NA
CHOYP_ISCW_ISCW008219.1.2.m.46822,NA,0.0323234670979039,NA
CHOYP_ISCW_ISCW010532.1.4.m.11493,NA,0.0337297110268521,NA
CHOYP_ISCW_ISCW010532.2.4.m.35454,NA,0.0261134076221362,NA
CHOYP_ISCW_ISCW012366.1.1.m.3691,-0.0334783631877426,NA,NA
CHOYP_ISCW_ISCW014398.1.3.m.15839,NA,NA,0.0251341437664841
CHOYP_ISCW_ISCW017350.1.1.m.11950,NA,0.0259483956637976,0.0282921159797625
CHOYP_ISCW_ISCW019177.2.4.m.56600,NA,0.0577881311050501,0.0482218365855614
CHOYP_ISCW_ISCW023973.1.2.m.6506,-0.0280108201128666,NA,NA
CHOYP_KARG.2.11.m.2196,0.0424184186726516,0.0318592104904392,0.112555395434658
CHOYP_KCP.8.13.m.40457,NA,NA,0.0274582464960565
CHOYP_KCY.1.1.m.29973,0.0465151937730966,NA,NA
CHOYP_LDLR.6.7.m.57984,-0.0764599594273041,0.116386896198054,0.0685297940736106
CHOYP_LOC100121788.1.1.m.28436,NA,0.0363021122915322,0.0303052103443155
CHOYP_LOC100123907.1.1.m.2987,-0.048672937526802,0.0309955289074665,0.0320344087386372
CHOYP_LOC100175722.1.3.m.11427,NA,0.0423704834409242,0.0380305713537839
CHOYP_LOC100175959.1.7.m.1896,0.0405250497260885,0.0367106525997977,0.0481080648522194
