"","X2_3","X2_5","X2_7","X2_9","X2_11","X2_13","X2_15"
"CHOYP_DHSAB.1.1|m.25026",30,32,37,28.5,8.5,5,14.5
"CHOYP_NRP.4.4|m.44647",29,33.5,33,24,9,11,26
"CHOYP_ISCW_ISCW011108.1.1|m.13934",32.5,31.5,31,27.5,11,11,21
"CHOYP_contig_045550|m.53021",11,30,53.5,41.5,25,24.5,25.5
"CHOYP_EIF3B.1.1|m.12232",28.5,26.5,30.5,26,12.5,16,30.5
"CHOYP_ACAA2.1.1|m.30666",25,26,28,23,4,6.5,25.5
"CHOYP_ENPL.4.4|m.47194",10.5,26.5,27.5,25.5,0,32,5
"CHOYP_LMNB2.1.1|m.55999",33,30.5,25.5,23.5,3.5,13.5,21.5
"CHOYP_LOC100699093.1.1|m.20134",24.5,28,28.5,23,10.5,14,27.5
"CHOYP_C1TC.1.1|m.28294",22.5,23,28,24.5,9,10,23
"CHOYP_SMP_078690.5.5|m.64878",25,20.5,18.5,24.5,8.5,17.5,23.5
"CHOYP_RL4.2.6|m.4481",30,32,31,25.5,13,10.5,33
"CHOYP_LOC100370552.2.2|m.59438",26.5,21.5,24.5,19,12,11,23.5
"CHOYP_BRAFLDRAFT_66627.1.1|m.40620",19.5,27.5,21.5,23.5,6.5,16,31.5
"CHOYP_SAP.1.2|m.13958",31,34,30,20,6,11,28.5
"CHOYP_SYTC.1.1|m.35709",27,21.5,25,22,8,13.5,27.5
"CHOYP_LOC100377378.1.1|m.64418",34.5,30.5,28,27,12,13,12.5
"CHOYP_BRAFLDRAFT_266781.1.2|m.24880",26,24.5,30,24,10.5,17.5,26
"CHOYP_DLAT.1.1|m.64812",26,29,29.5,23.5,13.5,18,23
"CHOYP_SC31A.1.2|m.8240",28,28.5,28.5,20,4.5,11,28.5
"K2C1_HUMAN",28,31,24,32,22,33.5,32.5
"CHOYP_TBA3.1.1|m.5111",8.5,25,31.5,24,8,6.5,29.5
"CHOYP_AGAP_AGAP007120.1.1|m.57542",21,25.5,21,21.5,18,17.5,24.5
"CHOYP_DLDH.1.1|m.31018",26,31,30.5,20,10.5,16,24
"CHOYP_LOC658895.1.1|m.20262",33.5,25,26,23.5,8.5,11,22.5
"CHOYP_DGRI_GH15313.1.1|m.5763",21,23.5,22.5,22.5,20,25,31
"CHOYP_LOC100164899.1.1|m.59665",27,25.5,28.5,22,6,11,28.5
"CHOYP_PLIN2.1.1|m.23758",21.5,28.5,26,29,10,19.5,34.5
"CHOYP_UGGG1.1.1|m.59266",23.5,26.5,36,23,7,18,28.5
"CHOYP_LOC100175959.4.7|m.28172",24,28,27,22,20,15,27.5
"CHOYP_SF3B3.1.1|m.45473",35,36,30,23,8,11,25.5
"CHOYP_LOC100114171.1.1|m.50280",33,27,29.5,16.5,4,6.5,18.5
"CHOYP_DPSE_GA27121.1.1|m.6089",16.5,20.5,34,27.5,14,18.5,25
"CHOYP_LOC100533387.1.1|m.56131",29,30.5,31.5,20,4,10.5,31
"CHOYP_LOC100367353.1.1|m.32092",24.5,26.5,31,17,12,14.5,27
"CHOYP_SRC.1.2|m.2503",22.5,25,26,19.5,8.5,16,26
"CHOYP_COPD.1.1|m.37389",27,28.5,28,24,6.5,14.5,24.5
"CHOYP_14332.1.2|m.5643",34,20,10.5,27.5,17,20.5,12
"CHOYP_LOC594665.1.1|m.8449",28.5,25,24.5,23,13,17.5,22.5
"CHOYP_BRAFLDRAFT_124476.1.4|m.1812",27.5,26.5,29.5,25.5,13,15,23
"CHOYP_BRAFLDRAFT_91441.1.1|m.47971",27,35,28.5,23.5,2,15.5,22.5
"CHOYP_LOC100378221.1.1|m.29052",30.5,27,30.5,18.5,2.5,7.5,21
"CHOYP_LOC100368695.1.1|m.26746",28,20,21,19,2,10,26
"CHOYP_TENS3.3.4|m.52970",27.5,28,31,19.5,3,3,18
"CHOYP_BRAFLDRAFT_125119.1.1|m.57550",30.5,20.5,23.5,21.5,6.5,7.5,22
"CHOYP_LOC100371750.2.2|m.64949",31.5,29,28,40,12,15.5,11.5
"CHOYP_SBP1.1.2|m.2083",17,22,30,26,11.5,17.5,34
"CHOYP_contig_038370|m.43386",16.5,23.5,40,27,14.5,18,32.5
"CHOYP_ISCW_ISCW001592.1.2|m.20852",34.5,27,38.5,27.5,10,10.5,20.5
"CHOYP_HYOU1.2.3|m.12568",20,24,34,24,11,11,23.5
"CHOYP_MGC89016.1.2|m.76",27.5,26.5,26,21.5,17.5,14,28
"CHOYP_LOC100371249.1.1|m.63117",23.5,21.5,30,24,17.5,16.5,23
"CHOYP_LOC584281.1.1|m.34958",26,25,28,23,7.5,13,22
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765",29,21,20.5,19,6,9.5,22
"CHOYP_SMP_194720.1.1|m.53496",25,25.5,27.5,22,4.5,11.5,24
"CHOYP_LOC100374272.5.6|m.57085",19.5,28,55,27.5,7,9,13.5
"CHOYP_K6PF.1.1|m.46882",24.5,22,24,22.5,5,9,22.5
"CHOYP_PHUM_PHUM477850.1.1|m.19067",30,22,24.5,22.5,8.5,12,23
"CHOYP_LOC100366708.1.1|m.19335",27,26.5,26,20,7,15,27.5
"CHOYP_TNNC.1.1|m.66691",24.5,21,19.5,18.5,17.5,22.5,22
"CHOYP_NUCL.2.2|m.21719",31,24.5,26.5,21.5,25,23,31.5
"CHOYP_LOC100377856.2.2|m.43339",28.5,32.5,23,15,1,2.5,10.5
"CHOYP_LOC100371695.1.1|m.10063",25.5,21,26.5,20.5,10,16.5,20.5
"CHOYP_U5S1.1.1|m.49230",30,28.5,26.5,21.5,1.5,8.5,22.5
"CHOYP_ISCW_ISCW003477.1.1|m.37800",18,23.5,33,23.5,7,12.5,23.5
"CHOYP_ADD.3.5|m.17639",16,16,0,35,16,26,0
"CHOYP_LOC100371236.1.1|m.62865",22.5,21,32,17,3.5,6,19.5
"CHOYP_SEC23B.1.1|m.12147",20,27,25,21,5,10.5,27
"CHOYP_LOC100893889.2.2|m.64935",24.5,22,22,17,14.5,18,12.5
"CHOYP_BRAFLDRAFT_118260.1.1|m.13621",24.5,25,26.5,14.5,7,9,23.5
"CHOYP_LOC100123216.1.1|m.28671",25,22.5,25,19,5.5,8.5,24.5
"CHOYP_LOC101072646.1.1|m.8800",21.5,20,27,25,12,11,12
"CHOYP_NEMVEDRAFT_V1G230495.1.1|m.61211",20,26,24.5,22.5,11,19.5,22
"CHOYP_GPDA.2.2|m.30755",24,23,22,22.5,13,16.5,26
"CHOYP_PPN.2.4|m.44929",45.5,32.5,37.5,29,15,8.5,2
"CHOYP_LOC100633041.1.1|m.35428",20.5,26,47,29.5,5,8,15
"CHOYP_14332.2.2|m.61737",34,22,36.5,8.5,2,5,36.5
"CHOYP_VATB.1.2|m.33785",23.5,24,26.5,20.5,8.5,11,23.5
"CHOYP_LOC100535066.1.2|m.15640",26,28,26,22,10.5,11,13
"CHOYP_BRAFLDRAFT_92024.1.1|m.49813",28.5,29.5,31,25.5,13,10.5,13
