"","correlation","t-stat","p-value","FDR"
"CHOYP_LYS3.1.1m.31221",0.56201,2.9618,0.0080111,0.44784
"CHOYP_14332.1.2m.5643",0.56189,2.9608,0.0080284,0.44784
"CHOYP_LOC100890433.1.1m.30609",0.56164,2.9589,0.0080616,0.44784
"CHOYP_LOC590298.2.3m.4191",0.56061,2.951,0.008204,0.44784
"CHOYP_LOC100533388.1.6m.3716",0.56061,2.951,0.008204,0.44784
"CHOYP_EEF1A.3.3m.37430",0.56054,2.9504,0.0082137,0.44784
"CHOYP_DOCK1.2.2m.61345",0.55942,2.9419,0.0083707,0.44805
"CHOYP_PAPOG.1.2m.33182",0.55941,2.9418,0.0083723,0.44805
"CHOYP_SMP_051990.7.7m.57569",0.55936,2.9414,0.0083788,0.44805
"CHOYP_PK3CD.1.1m.53039",0.55527,2.9103,0.0089739,0.45969
"CHOYP_contig_033090m.37804",0.55523,2.91,0.0089797,0.45969
"CHOYP_KI21A.1.2m.43900",0.5547,2.9059,0.0090598,0.45969
"CHOYP_RELN.3.4m.48195",0.5547,2.9059,0.0090598,0.45969
"CHOYP_TMEL_0889.1.2m.168",0.5547,2.9059,0.0090598,0.45969
"CHOYP_contig_002417m.2661",0.5547,2.9059,0.0090598,0.45969
"CHOYP_DWIL_GK25045.1.2m.9225",0.5546,2.9052,0.0090752,0.45969
"CHOYP_LOC100369194.1.1m.42345",-0.55403,-2.9009,0.0091605,0.45969
"CHOYP_LOC100892181.1.1m.49777",0.55391,2.9,0.0091793,0.45969
"CHOYP_ISCW_ISCW008316.1.3m.11997",0.5534,2.8961,0.0092577,0.45969
"CHOYP_BRAFLDRAFT_131608.1.1m.44249",0.5534,2.8961,0.0092577,0.45969
"CHOYP_LOC100721584.1.1m.52602",0.5534,2.8961,0.0092577,0.45969
"CHOYP_LOC100867381.8.8m.53059",0.55237,2.8883,0.009417,0.46178
"CHOYP_CENTRIN.1.1m.59526",0.55216,2.8868,0.0094497,0.46178
"CHOYP_PHUM_PHUM454570.1.1m.28665",0.55205,2.886,0.0094658,0.46178
"CHOYP_IMSP5.1.2m.5157",-0.55132,-2.8804,0.0095813,0.46378
"CHOYP_2AAA.1.1m.13306",0.55091,2.8774,0.0096452,0.46378
"CHOYP_BRAFLDRAFT_85506.1.1m.54726",0.55054,2.8746,0.009705,0.46378
"CHOYP_NEMVEDRAFT_V1G79897.1.1m.52661",0.55018,2.8719,0.0097627,0.46378
"CHOYP_BRAFLDRAFT_86827.4.4m.61859",-0.54981,-2.8691,0.0098225,0.46378
"CHOYP_LOC100368416.1.1m.58347",0.54938,2.866,0.0098907,0.46378
"CHOYP_ACA1_394750.1.2m.54181",0.54935,2.8657,0.009896,0.46378
"CHOYP_LOC100377677.2.2m.27049",0.54845,2.859,0.010042,0.46799
"CHOYP_HSPA12A.15.27m.45635",0.54805,2.856,0.010109,0.46848
"CHOYP_LOC100366470.2.2m.64705",0.5477,2.8534,0.010166,0.46853
"CHOYP_contig_040623m.46145",0.54696,2.8479,0.010289,0.46857
"CHOYP_PDIA4.1.1m.54958",0.54622,2.8424,0.010414,0.46857
"CHOYP_PCKG.1.2m.43785",0.54582,2.8394,0.010482,0.46857
"CHOYP_SEM2A.1.1m.43497",0.54563,2.838,0.010515,0.46857
"CHOYP_LOC578349.1.1m.51923",0.54547,2.8369,0.010541,0.46857
"CHOYP_TBB.2.7m.37919",0.54532,2.8358,0.010566,0.46857
"CHOYP_PTER.1.2m.28985",0.5449,2.8326,0.010638,0.46857
"CHOYP_BRAFLDRAFT_104092.10.11m.53767",-0.54486,-2.8324,0.010645,0.46857
"CHOYP_CSKP.1.2m.20832",0.5447,2.8312,0.010672,0.46857
"CHOYP_THSD4.1.2m.36522",0.54416,2.8271,0.010767,0.46963
"CHOYP_BRAFLDRAFT_81733.1.1m.213",-0.54391,-2.8254,0.010809,0.46963
"CHOYP_HNRPR.1.2m.44125",0.54239,2.8141,0.011077,0.4783
"CHOYP_LOC586122.3.4m.63155",0.54213,2.8122,0.011123,0.4783
"CHOYP_AGAP_AGAP007120.1.1m.57542",0.5415,2.8076,0.011236,0.47914
"CHOYP_LOC100377392.2.4m.21904",0.54024,2.7984,0.011464,0.47914
"CHOYP_AL8A1.1.1m.13904",0.5401,2.7974,0.01149,0.47914
"CHOYP_PHUM_PHUM226120.7.7m.54053",0.54008,2.7972,0.011494,0.47914
"CHOYP_MYS.4.7m.18188",0.5398,2.7952,0.011545,0.47914
"CHOYP_SCE4070.1.1m.29642",0.53965,2.7941,0.011572,0.47914
"CHOYP_EPN4.1.3m.10807",-0.5396,-2.7936,0.011583,0.47914
"CHOYP_PLOD3.1.1m.41788",0.53923,2.791,0.011649,0.47914
"CHOYP_C1QL2.19.32m.29743",-0.53918,-2.7906,0.01166,0.47914
"CHOYP_TNNC.1.1m.66691",0.53787,2.7811,0.011905,0.48465
"CHOYP_LOC663855.2.5m.747",0.53784,2.7808,0.01191,0.48465
"CHOYP_RL18A.6.8m.61646",0.53676,2.773,0.012115,0.48833
"CHOYP_BRAFLDRAFT_118602.3.5m.19626",0.53675,2.7729,0.012118,0.48833
"CHOYP_LOC100879890.1.1m.4963",0.53615,2.7686,0.012232,0.48988
"CHOYP_PPA5.1.1m.36087",0.53593,2.767,0.012273,0.48988
"CHOYP_BRAFLDRAFT_268929.1.1m.35239",0.53543,2.7634,0.012371,0.49142
"CHOYP_LOC100160077.1.1m.62645",0.53509,2.7609,0.012437,0.49144
"CHOYP_contig_044078m.50900",0.53458,2.7572,0.012536,0.49144
"CHOYP_PHUM_PHUM278110.1.1m.17560",0.53452,2.7568,0.012548,0.49144
"CHOYP_LOC578781.1.5m.2353",0.533,2.7458,0.01285,0.49787
"CHOYP_contig_034750m.39458",0.53295,2.7455,0.012861,0.49787
"CHOYP_LOC100123629.1.1m.841",0.5328,2.7444,0.012891,0.49787
"CHOYP_LOC100371881.1.2m.3634",0.53159,2.7357,0.013136,0.50437
"CHOYP_LOC100121363.1.1m.46369",0.53137,2.7341,0.013181,0.50437
"CHOYP_BRAFLDRAFT_128432.1.1m.8945",0.53047,2.7277,0.013365,0.50626
"CHOYP_YAHB.1.1m.25422",0.52969,2.7221,0.013527,0.50626
"CHOYP_NEMVEDRAFT_V1G242153.4.4m.60071",0.52948,2.7206,0.013571,0.50626
"CHOYP_SPTCA.1.2m.1905",0.52928,2.7191,0.013615,0.50626
"CHOYP_LOC100165685.1.1m.13583",0.52924,2.7189,0.013623,0.50626
"CHOYP_contig_036103m.40829",0.52915,2.7183,0.013641,0.50626
"CHOYP_BAG1.2.2m.60616",0.52834,2.7125,0.013812,0.50626
"CHOYP_NEMVEDRAFT_V1G214960.1.1m.2485",0.52827,2.712,0.013827,0.50626
"CHOYP_TPPC8.1.1m.6302",0.52817,2.7113,0.013848,0.50626
"CHOYP_RHO1.3.3m.44337",0.52798,2.7099,0.013889,0.50626
