"","correlation","t-stat","p-value","FDR"
"CHOYP_contig_006560m.7472",-0.19826,-0.88171,0.38895,0.79759
"CHOYP_IF4G2.1.1m.62766",-0.19826,-0.8817,0.38896,0.79759
"CHOYP_contig_014354m.16426",-0.19825,-0.88167,0.38897,0.79759
"CHOYP_HEATR3.1.1m.33423",0.19811,0.88099,0.38933,0.79759
"CHOYP_contig_013751m.15674",0.198,0.88051,0.38959,0.79759
"CHOYP_IARS.1.1m.27559",0.19795,0.88024,0.38973,0.79759
"CHOYP_PHUM_PHUM563970.1.1m.13515",-0.19783,-0.87972,0.39,0.79759
"CHOYP_LOC100186360.1.2m.50759",-0.19779,-0.87951,0.39011,0.79759
"CHOYP_contig_005590m.6345",-0.19775,-0.87931,0.39022,0.79759
"CHOYP_LYPA2.1.1m.45740",0.19773,0.87924,0.39026,0.79759
"CHOYP_RPGRB.1.1m.59104",0.19773,0.87923,0.39026,0.79759
"CHOYP_NEMVEDRAFT_V1G203842.1.1m.60812",0.19767,0.87897,0.3904,0.79759
"CHOYP_LOC100123595.1.2m.63353",-0.19764,-0.87884,0.39047,0.79759
"CHOYP_contig_016292m.19158",0.19764,0.87884,0.39047,0.79759
"CHOYP_ELDP2.1.2m.39081",0.19749,0.87813,0.39084,0.79759
"CHOYP_KS6A5.1.1m.51330",-0.19723,-0.87694,0.39147,0.79759
"CHOYP_PHUM_PHUM174820.1.1m.57391",0.19707,0.87617,0.39188,0.79759
"CHOYP_LDBPK_300810.1.1m.29406",0.19707,0.87617,0.39188,0.79759
"CHOYP_PHUM_PHUM174810.1.1m.31029",0.19707,0.87617,0.39188,0.79759
"CHOYP_LOC100644701.2.2m.54959",0.19707,0.87617,0.39188,0.79759
"CHOYP_HSPA12A.27.27m.65384",0.19707,0.87617,0.39188,0.79759
"CHOYP_TRIM33.1.1m.36639",0.19707,0.87617,0.39188,0.79759
"CHOYP_BRAFLDRAFT_129074.1.1m.25032",0.19707,0.87617,0.39188,0.79759
"CHOYP_LOC562156.1.2m.16403",0.19707,0.87617,0.39188,0.79759
"CHOYP_NEMVEDRAFT_V1G215851.2.2m.18129",0.19707,0.87617,0.39188,0.79759
"CHOYP_LOC594038.1.1m.8864",-0.19707,-0.87617,0.39188,0.79759
"CHOYP_TMEDA.1.2m.42794",0.19707,0.87617,0.39188,0.79759
"CHOYP_ABCA3.2.6m.4295",0.19707,0.87617,0.39188,0.79759
"CHOYP_ZNF624.1.1m.45743",0.19707,0.87617,0.39188,0.79759
"CHOYP_contig_038058m.42964",0.19707,0.87617,0.39188,0.79759
"CHOYP_CASP7.8.23m.23670",0.19707,0.87617,0.39188,0.79759
"CHOYP_PKHL1.3.3m.42452",-0.19699,-0.87584,0.39205,0.79759
"CHOYP_BRAFLDRAFT_119906.1.1m.45320",0.19689,0.87534,0.39232,0.79759
"CHOYP_LOC657473.1.1m.55374",-0.1964,-0.87307,0.39352,0.79759
"CHOYP_ATC1.1.1m.5161",-0.19638,-0.87301,0.39356,0.79759
"CHOYP_LOC100372505.2.2m.26614",-0.19638,-0.87298,0.39357,0.79759
"CHOYP_BRAFLDRAFT_275667.1.1m.17353",0.19633,0.87279,0.39367,0.79759
"CHOYP_LOC581594.2.3m.34837",-0.19619,-0.87211,0.39404,0.79759
"CHOYP_IQCA1.1.3m.4290",-0.19614,-0.87191,0.39414,0.79759
"CHOYP_TRIADDRAFT_37121.1.1m.51940",-0.19612,-0.87178,0.39421,0.79759
"CHOYP_LOC583954.1.1m.777",-0.19612,-0.87178,0.39421,0.79759
"CHOYP_CG42749.1.1m.30138",0.19606,0.87154,0.39434,0.79759
"CHOYP_ACSL1.1.1m.685",0.19606,0.87151,0.39436,0.79759
"CHOYP_LOC100869625.1.1m.52959",-0.19605,-0.87149,0.39436,0.79759
"CHOYP_BRAFLDRAFT_204501.1.1m.910",0.19597,0.8711,0.39457,0.79759
"CHOYP_LOC582784.1.1m.53921",-0.19584,-0.87049,0.3949,0.79759
"CHOYP_ISCW_ISCW005791.1.1m.53514",0.19584,0.87049,0.3949,0.79759
"CHOYP_DHSAB.1.1m.25026",0.19574,0.87005,0.39513,0.79759
"CHOYP_PAN2.1.1m.44690",-0.19568,-0.86975,0.39529,0.79759
"CHOYP_contig_021858m.25098",0.19565,0.86961,0.39537,0.79759
"CHOYP_UFL1.1.1m.20000",0.19547,0.8688,0.3958,0.79759
"CHOYP_FCL.1.1m.13504",0.19527,0.86785,0.39631,0.79759
"CHOYP_LOC100370201.1.1m.974",0.19522,0.86763,0.39643,0.79759
"CHOYP_UBP48.1.1m.25564",0.19522,0.86763,0.39643,0.79759
"CHOYP_DEK.1.1m.40646",0.19515,0.8673,0.3966,0.79759
"CHOYP_KIF2A.2.2m.62687",0.19512,0.86718,0.39666,0.79759
"CHOYP_LOC591073.1.1m.50375",-0.19448,-0.86421,0.39825,0.79759
"CHOYP_MDM1.1.2m.7535",0.19432,0.86347,0.39865,0.79759
"CHOYP_BRAFLDRAFT_124275.1.1m.8900",0.19425,0.86316,0.39882,0.79759
"CHOYP_BRAFLDRAFT_279226.1.1m.24471",0.19416,0.86274,0.39904,0.79759
"CHOYP_SLC6A14.1.1m.43828",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_LOC100373906.1.2m.21267",0.19415,0.86267,0.39908,0.79759
"CHOYP_LOC100372392.6.8m.56267",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_TSC1.1.1m.5136",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_CRE-GST-7.1.1m.30139",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_NEK1.1.5m.9137",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_UBR3.1.1m.43346",-0.19415,-0.86267,0.39908,0.79759
"CHOYP_LOC100863920.1.1m.40408",0.19412,0.86256,0.39914,0.79759
"CHOYP_OGFRL1.1.1m.44422",0.19404,0.86218,0.39934,0.79759
"CHOYP_LOAG_05095.2.2m.58023",0.19395,0.86175,0.39957,0.79759
"CHOYP_LOC100375784.2.6m.7640",-0.19393,-0.8617,0.3996,0.79759
"CHOYP_ARF2.1.3m.10738",0.19393,0.86167,0.39961,0.79759
"CHOYP_RIR1.2.2m.30556",0.19393,0.86167,0.39961,0.79759
"CHOYP_LOC100881900.1.3m.1852",0.19384,0.86127,0.39983,0.79759
"CHOYP_BRAFLDRAFT_151236.1.1m.30653",-0.19376,-0.86088,0.40004,0.79759
"CHOYP_1433E.1.2m.3638",0.1935,0.85971,0.40067,0.79759
"CHOYP_APLP.2.2m.55987",-0.19339,-0.85918,0.40095,0.79759
"CHOYP_LOC101162206.1.1m.53261",-0.19334,-0.85895,0.40107,0.79759
"CHOYP_TMEM2.1.4m.6314",-0.19332,-0.85885,0.40113,0.79759
"CHOYP_MAD2L1.1.1m.10353",-0.19326,-0.85856,0.40128,0.79759
"CHOYP_LOC762575.1.1m.54012",-0.19326,-0.85856,0.40128,0.79759
"CHOYP_PI4KB.1.1m.8669",0.19326,0.85856,0.40128,0.79759
"CHOYP_GATC.1.2m.2975",-0.19326,-0.85856,0.40128,0.79759
"CHOYP_FLOT1.1.2m.21435",-0.19326,-0.85856,0.40128,0.79759
"CHOYP_PYR1.1.1m.61565",0.19322,0.85842,0.40136,0.79759
"CHOYP_BRAFLDRAFT_114158.1.1m.24733",0.19317,0.85816,0.4015,0.79759
"CHOYP_BRAFLDRAFT_284846.2.2m.60100",-0.19313,-0.85799,0.40159,0.79759
"CHOYP_LOC100541322.1.1m.43256",0.19307,0.85772,0.40174,0.79759
"CHOYP_LOC100377001.1.2m.10821",0.19262,0.85563,0.40286,0.79759
"CHOYP_LOC100373461.1.2m.30015",0.1925,0.85507,0.40317,0.79759
"CHOYP_LOC100891594.2.2m.54602",0.1925,0.85507,0.40317,0.79759
"CHOYP_BRAFLDRAFT_68242.2.3m.26345",-0.19245,-0.85485,0.40328,0.79759
"CHOYP_LOC100865286.1.1m.17958",-0.19245,-0.85485,0.40328,0.79759
"CHOYP_PWP2.1.1m.7530",-0.19245,-0.85485,0.40328,0.79759
"CHOYP_LOC100713637.1.1m.16691",0.19245,0.85485,0.40328,0.79759
"CHOYP_UBA3.1.1m.59856",-0.19245,-0.85485,0.40328,0.79759
"CHOYP_MED24.4.10m.16708",0.19242,0.85471,0.40336,0.79759
"CHOYP_GCKR.1.1m.51743",0.19228,0.85407,0.40371,0.79759
"CHOYP_UFC1.1.2m.6917",0.19212,0.85332,0.40411,0.79759
"CHOYP_CSK.1.1m.55145",0.19211,0.8533,0.40412,0.79759
"CHOYP_AAKG2.1.1m.55638",0.19209,0.85317,0.40419,0.79759
"CHOYP_ATP13A.1.1m.10161",-0.19206,-0.85303,0.40427,0.79759
"CHOYP_LOC588883.2.3m.14590",0.192,0.8528,0.40439,0.79759
"CHOYP_SYHC.1.1m.65924",0.19199,0.85273,0.40443,0.79759
"CHOYP_LOC100372582.1.2m.8558",0.19194,0.8525,0.40455,0.79759
"CHOYP_LOC100180636.1.1m.66440",0.19186,0.85212,0.40476,0.79759
"CHOYP_contig_026723m.30427",-0.19181,-0.85189,0.40489,0.79759
"CHOYP_SFXN1.1.1m.27758",-0.19173,-0.85153,0.40508,0.79759
"CHOYP_BRAFLDRAFT_246510.1.1m.27433",-0.19173,-0.85153,0.40508,0.79759
"CHOYP_LOC100166353.1.1m.4625",0.19166,0.85122,0.40525,0.79759
"CHOYP_LOC100533447.1.3m.37261",-0.1916,-0.85092,0.40541,0.79759
"CHOYP_SF3B4.1.1m.14985",-0.19151,-0.85052,0.40563,0.79759
"CHOYP_contig_024582m.27943",-0.19151,-0.85052,0.40563,0.79759
"CHOYP_VP33.1.2m.1058",0.19149,0.85043,0.40567,0.79759
"CHOYP_KCIP4.1.1m.46682",-0.19143,-0.85012,0.40584,0.79759
"CHOYP_BRAFLDRAFT_122807.1.1m.3729",0.19138,0.8499,0.40597,0.79759
"CHOYP_EPRS.1.1m.35443",0.19111,0.84866,0.40663,0.79759
"CHOYP_LOC100376289.1.1m.60023",0.191,0.84816,0.40691,0.79759
"CHOYP_FKBP14.1.1m.7244",-0.19098,-0.84808,0.40695,0.79759
"CHOYP_DNMT1.1.1m.54990",-0.19091,-0.84775,0.40713,0.79759
"CHOYP_EDRF1.2.2m.45353",-0.19091,-0.84775,0.40713,0.79759
"CHOYP_RL8.10.10m.65636",0.19082,0.84732,0.40736,0.79759
"CHOYP_TXND3.2.4m.21415",-0.19059,-0.84627,0.40793,0.79759
"CHOYP_BRAFLDRAFT_116053.1.1m.63017",-0.1905,-0.84586,0.40816,0.79759
"CHOYP_LOC101159300.1.1m.26609",-0.1905,-0.84586,0.40816,0.79759
"CHOYP_LOC100882263.1.1m.48839",-0.1904,-0.84542,0.4084,0.79759
"CHOYP_BRAFLDRAFT_121507.1.2m.30603",-0.19038,-0.84532,0.40845,0.79759
"CHOYP_KARG.11.11m.50800",0.19026,0.84475,0.40876,0.79759
"CHOYP_WIBG.1.1m.11521",0.19021,0.84452,0.40889,0.79759
"CHOYP_VOLCADRAFT_89567.1.1m.27272",-0.19019,-0.84444,0.40893,0.79759
"CHOYP_SMP_149990.1.1.1m.44960",0.19019,0.84444,0.40893,0.79759
"CHOYP_PHATRDRAFT_43152.1.1m.15003",0.19015,0.84424,0.40904,0.79759
"CHOYP_CA050.1.2m.10226",-0.1901,-0.84401,0.40916,0.79759
"CHOYP_LOC100377755.1.1m.1005",-0.19007,-0.84389,0.40923,0.79759
"CHOYP_contig_038806m.43911",-0.19002,-0.84367,0.40935,0.79759
"CHOYP_MYSP.5.9m.28124",0.18992,0.84317,0.40962,0.79759
"CHOYP_LOC660225.1.1m.35197",-0.1899,-0.84311,0.40965,0.79759
"CHOYP_ISCW_ISCW017350.1.1m.11950",0.18988,0.84301,0.40971,0.79759
"CHOYP_LOC100118098.1.1m.14795",-0.18983,-0.84278,0.40984,0.79759
"CHOYP_LOC585591.1.1m.62390",-0.18983,-0.84277,0.40984,0.79759
"CHOYP_NEMVEDRAFT_V1G159364.1.1m.22912",-0.18969,-0.84215,0.41018,0.79759
"CHOYP_AIMP1.1.1m.16360",0.18969,0.84213,0.41019,0.79759
"CHOYP_LOC584238.1.1m.30307",-0.18952,-0.84137,0.41061,0.79759
"CHOYP_RPC1.1.1m.16568",0.18923,0.84003,0.41134,0.79759
"CHOYP_LOC100161158.1.1m.14383",0.18914,0.83958,0.41158,0.79759
"CHOYP_BRAF.2.3m.21192",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_MTAP.1.1m.15433",0.18898,0.83887,0.41197,0.79759
"CHOYP_LOC496139.1.1m.39321",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_GOPC.1.1m.45489",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_BRAFLDRAFT_232705.1.2m.13912",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_LOC100375797.1.3m.4166",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_CHSS2.1.1m.19314",0.18898,0.83887,0.41197,0.79759
"CHOYP_LOC100638431.8.10m.58430",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_SBDS.1.1m.27786",0.18898,0.83887,0.41197,0.79759
"CHOYP_B3GT2.1.1m.35771",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_MDR1B.1.2m.12480",0.18898,0.83887,0.41197,0.79759
"CHOYP_ZNF382.1.1m.21527",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_PCDH7.1.3m.6236",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_CEP192.1.2m.7869",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_PLC.3.5m.7658",0.18898,0.83887,0.41197,0.79759
"CHOYP_ACO13.1.1m.30659",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_LOC100371721.1.1m.23143",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_LOC100374320.1.1m.54274",0.18898,0.83887,0.41197,0.79759
"CHOYP_BRAFLDRAFT_125840.1.1m.58396",0.18898,0.83887,0.41197,0.79759
"CHOYP_BRAFLDRAFT_277269.1.1m.51636",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_RS3.4.7m.42801",0.18898,0.83887,0.41197,0.79759
"CHOYP_contig_003275m.3667",0.18898,0.83887,0.41197,0.79759
"CHOYP_TIMP3.4.9m.28669",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_LOC100374741.27.83m.24541",0.18898,0.83887,0.41197,0.79759
"CHOYP_BRAFLDRAFT_203655.1.2m.10",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_TSPAN18A.2.2m.50689",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_contig_040887m.46494",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_ZF_U1LIKE_-10.1.1m.18971",-0.18898,-0.83887,0.41197,0.79759
"CHOYP_contig_053989m.64582",0.18898,0.83887,0.41197,0.79759
"CHOYP_RED1.1.2m.60684",0.18898,0.83887,0.41197,0.79759
"CHOYP_GNAI.1.1m.26096",0.18888,0.8384,0.41223,0.79759
"CHOYP_CSK21.1.2m.19313",-0.18879,-0.83801,0.41245,0.79759
"CHOYP_LOC100698013.1.1m.5420",0.18874,0.83777,0.41258,0.79759
"CHOYP_contig_018956m.22217",-0.18874,-0.83774,0.41259,0.79759
"CHOYP_BRAFLDRAFT_271463.1.1m.62869",-0.18865,-0.83734,0.41281,0.79759
"CHOYP_ODO1.2.2m.23540",0.18863,0.83726,0.41286,0.79759
"CHOYP_contig_032567m.37185",-0.18862,-0.83718,0.4129,0.79759
"CHOYP_NEMVEDRAFT_V1G236658.4.6m.30181",0.18857,0.83697,0.41301,0.79759
"CHOYP_BAX.1.1m.30787",0.18842,0.83629,0.41338,0.79759
"CHOYP_contig_010181m.11866",-0.18842,-0.83629,0.41338,0.79759
"CHOYP_KAPR.1.3m.8246",0.18841,0.83623,0.41342,0.79759
"CHOYP_LOC590729.1.1m.35259",0.18835,0.83597,0.41356,0.79759
"CHOYP_CALM.22.50m.31010",-0.18833,-0.83587,0.41361,0.79759
"CHOYP_LOC100903999.1.1m.16840",-0.18832,-0.83581,0.41365,0.79759
"CHOYP_contig_041782m.47874",-0.18827,-0.83561,0.41376,0.79759
"CHOYP_LOC100558843.1.1m.14396",-0.18816,-0.83509,0.41404,0.79759
"CHOYP_DSRAD.2.4m.5410",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_LOC101238350.1.1m.23002",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_LOC662072.1.1m.51458",0.18787,0.83374,0.41479,0.79759
"CHOYP_BRAFLDRAFT_234513.1.1m.9581",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_HVCN1.1.4m.8888",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_CALM.37.50m.52385",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_RPL10.1.2m.4994",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_TBB4B.3.7m.22777",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_LOC100369333.14.32m.32582",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_contig_039595m.44817",-0.18787,-0.83374,0.41479,0.79759
"ALBU_BOVIN",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_MEGF6.15.59m.24311",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_contig_027379m.31113",-0.18787,-0.83374,0.41479,0.79759
"CHOYP_UBR4.1.1m.34997",0.18781,0.83349,0.41492,0.79759
"CHOYP_BRAFLDRAFT_124064.3.6m.38212",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_CELA1.2.3m.27287",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC100378676.3.8m.43012",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_M6PR.1.1m.51635",0.18738,0.83151,0.41601,0.79759
"CHOYP_PTPRG.1.3m.56419",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC583865.2.2m.15485",0.18738,0.83151,0.41601,0.79759
"CHOYP_contig_014877m.17157",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC558150.4.4m.53050",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_CKAP5.1.1m.10679",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_BIG3.1.1m.51447",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC100368219.2.5m.38385",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_BRAFLDRAFT_91636.8.11m.58992",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_BRAFLDRAFT_89870.1.1m.15447",0.18738,0.83151,0.41601,0.79759
"CHOYP_LOC100176461.1.1m.63236",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC100366404.1.2m.22137",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC100370625.2.3m.26929",-0.18738,-0.83151,0.41601,0.79759
"CHOYP_LOC100371248.1.2m.10238",0.18716,0.83048,0.41658,0.79759
"CHOYP_CYTA.1.1m.10540",-0.1871,-0.83021,0.41673,0.79759
"CHOYP_ELOV4.3.3m.64203",-0.18709,-0.83018,0.41675,0.79759
"CHOYP_CHD7.2.2m.14418",0.18708,0.83013,0.41677,0.79759
"CHOYP_LOC100636493.1.1m.65727",0.18689,0.82926,0.41725,0.79759
"CHOYP_BRAFLDRAFT_276868.1.1m.27780",-0.18686,-0.82912,0.41733,0.79759
"CHOYP_SPI2.29.37m.30551",0.18677,0.8287,0.41756,0.79759
"CHOYP_LOC100369954.1.1m.22656",-0.18675,-0.8286,0.41762,0.79759
"CHOYP_FLNC.5.5m.40834",-0.1867,-0.82836,0.41775,0.79759
"CHOYP_contig_047685m.56291",-0.18668,-0.82829,0.41779,0.79759
"CHOYP_KC1A.2.2m.64030",0.18661,0.82796,0.41797,0.79759
"CHOYP_TMEM2.3.4m.10491",-0.18651,-0.8275,0.41823,0.79759
"CHOYP_LOC100374036.1.1m.65939",0.1865,0.82746,0.41825,0.79759
"CHOYP_BRAFLDRAFT_117028.1.1m.26596",-0.1865,-0.82746,0.41825,0.79759
"CHOYP_PHUM_PHUM289860.1.1m.44778",-0.1865,-0.82746,0.41825,0.79759
"CHOYP_SAMD15.1.1m.27733",0.1865,0.82746,0.41825,0.79759
"CHOYP_THSD4.2.2m.57001",0.1865,0.82746,0.41825,0.79759
"CHOYP_LOC100017224.1.1m.26828",0.1865,0.82746,0.41825,0.79759
"CHOYP_LOC100366918.1.1m.31506",0.1865,0.82746,0.41825,0.79759
"CHOYP_BRAFLDRAFT_208436.18.32m.58763",-0.1865,-0.82746,0.41825,0.79759
"CHOYP_RINT1.1.1m.9402",0.1865,0.82746,0.41825,0.79759
"CHOYP_SMP_105540.1.1m.40275",0.1865,0.82746,0.41825,0.79759
"CHOYP_COX1.1.15m.3193",0.1865,0.82746,0.41825,0.79759
"CHOYP_LOC100372867.1.1m.18083",0.1865,0.82746,0.41825,0.79759
"CHOYP_LOC580840.1.1m.45392",-0.1864,-0.82697,0.41852,0.79759
"CHOYP_LOC100372239.1.1m.50390",-0.18639,-0.82693,0.41854,0.79759
"CHOYP_AN13B.1.1m.15287",-0.18636,-0.82681,0.41861,0.79759
"CHOYP_SPI2.8.37m.4837",0.18634,0.82671,0.41866,0.79759
"CHOYP_EATER.1.1m.30042",0.18624,0.82625,0.41892,0.79759
"CHOYP_BRAFLDRAFT_89536.1.1m.26678",0.18607,0.82549,0.41934,0.79759
"CHOYP_LOC100701551.1.7m.3948",0.18604,0.82534,0.41942,0.79759
"CHOYP_LOC577905.1.2m.2598",0.18604,0.82534,0.41942,0.79759
"CHOYP_ODC1.1.1m.12032",0.18601,0.82522,0.41949,0.79759
"CHOYP_LOC100486063.5.9m.39538",0.1859,0.82472,0.41977,0.79759
"CHOYP_BRAFLDRAFT_246978.1.1m.6916",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_LOC558213.1.1m.27293",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_LOC100372889.1.2m.37506",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_BRAFLDRAFT_199108.1.2m.24078",0.18582,0.82434,0.41997,0.79759
"CHOYP_UT14A.1.1m.44047",0.18582,0.82434,0.41997,0.79759
"CHOYP_MTNB.1.1m.16051",0.18582,0.82434,0.41997,0.79759
"CHOYP_LOC100366965.1.2m.40982",0.18582,0.82434,0.41997,0.79759
"CHOYP_ASMTL.1.1m.20115",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_LOC100880815.5.7m.54594",0.18582,0.82434,0.41997,0.79759
"CHOYP_BRAFLDRAFT_118793.1.1m.20795",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_contig_041605m.47590",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_contig_050710m.60376",0.18582,0.82434,0.41997,0.79759
"CHOYP_BRAFLDRAFT_277494.2.3m.57496",-0.18582,-0.82434,0.41997,0.79759
"CHOYP_BRAFLDRAFT_287716.1.1m.51443",0.18576,0.82405,0.42013,0.79759
"CHOYP_PAR15.2.6m.21081",0.18576,0.82405,0.42013,0.79759
"CHOYP_LOC100376880.1.1m.475",-0.18576,-0.82405,0.42013,0.79759
"CHOYP_BRAFLDRAFT_80311.3.3m.30251",0.18575,0.82398,0.42017,0.79759
"CHOYP_SHMT2.1.1m.10572",0.18571,0.82383,0.42026,0.79759
"CHOYP_A4.2.3m.7550",-0.18546,-0.82267,0.4209,0.79759
"CHOYP_DRG2.1.1m.14009",-0.18546,-0.82267,0.4209,0.79759
"CHOYP_LOC100370046.1.1m.18329",-0.18544,-0.82258,0.42095,0.79759
"CHOYP_LOC101069440.3.3m.28439",-0.18539,-0.82237,0.42107,0.79759
"CHOYP_BRAFLDRAFT_91636.4.11m.45350",0.18537,0.82226,0.42113,0.79759
"CHOYP_RAC1.1.3m.20870",0.18527,0.8218,0.42138,0.79759
"CHOYP_ATIC.1.1m.17816",-0.18524,-0.82166,0.42146,0.79759
"CHOYP_LOC100376187.2.2m.55240",-0.18519,-0.82142,0.4216,0.79759
"CHOYP_PDS5B.1.1m.16690",0.18518,0.82137,0.42162,0.79759
"CHOYP_LOC100367837.1.1m.56015",0.18517,0.82136,0.42163,0.79759
"CHOYP_LOC100564832.1.1m.43026",0.18514,0.82122,0.42171,0.79759
"CHOYP_CPE.1.1m.53041",-0.18514,-0.82122,0.42171,0.79759
"CHOYP_LOC100371637.1.1m.7833",-0.18511,-0.82104,0.4218,0.79759
"CHOYP_KCMF1.1.1m.62675",0.18484,0.81981,0.42249,0.79759
"CHOYP_LOC100376272.3.4m.30522",0.1848,0.81964,0.42258,0.79759
"CHOYP_RS3A.14.15m.57763",-0.18477,-0.81952,0.42265,0.79759
"CHOYP_RS3A.2.15m.2682",-0.18477,-0.81952,0.42265,0.79759
"CHOYP_NOL5.1.1m.49429",0.1847,0.81919,0.42283,0.79759
"CHOYP_ITF2.1.1m.1446",0.18464,0.81889,0.423,0.79759
"CHOYP_LOC658640.2.2m.56941",-0.18464,-0.81889,0.423,0.79759
"CHOYP_RT16.1.1m.16545",-0.18464,-0.81889,0.423,0.79759
"CHOYP_LOC577573.1.1m.13979",-0.18464,-0.81889,0.423,0.79759
"CHOYP_PLCB4.1.2m.1637",-0.18464,-0.81889,0.423,0.79759
"CHOYP_LOC100368376.1.2m.11023",-0.18464,-0.81889,0.423,0.79759
"CHOYP_LOC100376749.1.1m.27252",-0.18464,-0.81889,0.423,0.79759
"CHOYP_BRAFLDRAFT_88223.10.22m.35410",-0.18464,-0.81889,0.423,0.79759
"CHOYP_contig_006063m.6910",-0.18464,-0.81889,0.423,0.79759
"CHOYP_BRAFLDRAFT_63459.2.3m.27933",-0.18451,-0.81832,0.42332,0.79759
"CHOYP_LOC659024.1.2m.31136",0.18442,0.81791,0.42355,0.79759
"CHOYP_PIDD.1.1m.54294",-0.18423,-0.81702,0.42405,0.79759
"CHOYP_EEA1.1.1m.9573",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_BRAFLDRAFT_123304.1.1m.29231",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_PHUM_PHUM244880.2.2m.41653",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_LOC100375141.1.1m.12655",0.18411,0.8165,0.42434,0.79759
"CHOYP_NEMVEDRAFT_V1G229510.4.4m.47762",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_LOC661769.1.1m.10866",0.18411,0.8165,0.42434,0.79759
"CHOYP_contig_009651m.11212",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_contig_029445m.33401",-0.18411,-0.8165,0.42434,0.79759
"CHOYP_LOC100115298.1.1m.39207",0.184,0.81598,0.42463,0.79759
"CHOYP_BRAFLDRAFT_124476.1.4m.1812",-0.18389,-0.81548,0.4249,0.79759
"CHOYP_LOC100373444.63.79m.59147",0.18371,0.81465,0.42537,0.79759
"CHOYP_LOC100180883.1.1m.46611",-0.18345,-0.81344,0.42604,0.79759
"CHOYP_LOC582352.1.1m.30199",-0.18341,-0.81327,0.42614,0.79759
"CHOYP_PRKDC.1.1m.47256",-0.18334,-0.81294,0.42632,0.79759
"CHOYP_NCER_101848.1.1m.63547",-0.1833,-0.81277,0.42642,0.79759
"CHOYP_TRIADDRAFT_61434.1.1m.8434",-0.18326,-0.81258,0.42652,0.79759
"CHOYP_BRAFLDRAFT_204923.1.2m.1690",-0.18313,-0.81198,0.42686,0.79759
"CHOYP_SK2L2.1.1m.35679",0.1831,0.81184,0.42694,0.79759
"CHOYP_contig_028345m.32285",-0.18308,-0.81176,0.42698,0.79759
"CHOYP_LOC586678.1.1m.35070",-0.18303,-0.8115,0.42713,0.79759
"CHOYP_DCDC2.3.7m.36589",0.18276,0.8103,0.4278,0.79759
"CHOYP_ISCW_ISCW001487.2.2m.61505",0.18273,0.81013,0.4279,0.79759
