"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_contig_025702m.29329",10.123,0.00020376,3.6909,0.018447,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC100366455.3.3m.28840",10.116,0.00020455,3.6892,0.018447,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC100882621.1.2m.25860",10.101,0.00020621,3.6857,0.018447,"3 - 11; 9 - 11; 3 - 13; 5 - 13; 9 - 13; 3 - 15; 5 - 15; 9 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_NDUFB9.1.2m.37494",10.099,0.00020635,3.6854,0.018447,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9"
"CHOYP_contig_031126m.35509",10.086,0.00020787,3.6822,0.018447,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ADAMTS12.1.2m.29930",10.03,0.00021411,3.6694,0.018801,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_125073.1.1m.1752",9.9883,0.00021897,3.6596,0.018948,"11 - 13; 3 - 11; 11 - 7; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_278918.5.5m.48881",9.9767,0.00022033,3.6569,0.018948,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC101062323.1.1m.15918",9.8987,0.00022978,3.6387,0.019213,"5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 5 - 15; 7 - 15; 5 - 3; 7 - 3; 5 - 9"
"CHOYP_AAEL_AAEL012950.1.1m.1373",9.8971,0.00022997,3.6383,0.019213,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_MBCDH18.1.1m.34344",9.8781,0.00023235,3.6339,0.019213,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9"
"CHOYP_LOC100377771.1.1m.7044",9.8238,0.00023928,3.6211,0.019213,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_BRAFLDRAFT_86765.1.1m.54066",9.8039,0.00024188,3.6164,0.019213,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC589479.2.2m.57247",9.7943,0.00024315,3.6141,0.019213,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9"
"CHOYP_VOLCADRAFT_89567.1.1m.27272",9.786,0.00024425,3.6122,0.019213,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_67520.2.2m.34594",9.7857,0.00024428,3.6121,0.019213,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 7 - 9"
"CHOYP_EMC2.2.2m.21018",9.7778,0.00024535,3.6102,0.019213,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15"
"CHOYP_contig_026975m.30698",9.7696,0.00024644,3.6083,0.019213,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100183535.2.2m.10350",9.6667,0.00026072,3.5838,0.019953,"13 - 11; 15 - 11; 3 - 11; 5 - 11; 7 - 11; 9 - 11"
