"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_OGFD1.1.1m.10563",1.0469e+30,9.8354e-207,206.01,4.1023e-203,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_MYS3.1.2m.31829",1.0469e+30,9.8354e-207,206.01,4.1023e-203,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_NEUL4.2.2m.54340",79,5.4725e-10,9.2618,1.5217e-06,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_CBG11254.1.1m.9107",60.063,3.4448e-09,8.4628,7.1841e-06,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_045550m.53021",34.436,1.3308e-07,6.8759,0.00022203,"11 - 3; 7 - 11; 9 - 11; 13 - 3; 7 - 13; 9 - 13; 15 - 3; 5 - 15; 7 - 15; 9 - 15; 5 - 3; 7 - 3; 9 - 3; 7 - 5; 9 - 5; 7 - 9"
"CHOYP_CRYAB.1.5m.2659",29.748,3.3985e-07,6.4687,0.00040804,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ATS6.3.3m.56109",29.713,3.424e-07,6.4655,0.00040804,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9; 7 - 9"
"CHOYP_LOC664138.1.1m.26660",28.769,4.204e-07,6.3763,0.00043838,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100370738.1.1m.30463",27.615,5.4475e-07,6.2638,0.00048858,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_024012m.27306",27.3,5.8569e-07,6.2323,0.00048858,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_023724m.26984",25.937,8.0872e-07,6.0922,0.00057241,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_LOC100378410.1.1m.18106",25.862,8.2341e-07,6.0844,0.00057241,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 5 - 3; 7 - 3; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_RCOM_1886900.1.1m.11248",25.44,9.1306e-07,6.0395,0.0005859,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_BRAFLDRAFT_127065.6.7m.30727",24.321,1.2095e-06,5.9174,0.00070573,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ISCW_ISCW019177.2.4m.56600",24.134,1.269e-06,5.8965,0.00070573,"3 - 11; 5 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC101439509.1.1m.65851",23.843,1.3685e-06,5.8637,0.00071351,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_LOC100168209.1.1m.26697",21.996,2.2551e-06,5.6468,0.0011066,"11 - 15; 3 - 11; 5 - 11; 7 - 11; 9 - 11; 13 - 15; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9"
"CHOYP_NF70.4.4m.63507",21.542,2.5636e-06,5.5911,0.0011881,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 15 - 13; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 9 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_055406m.66084",21.259,2.7807e-06,5.5558,0.0012107,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 7 - 15; 9 - 15; 3 - 5; 3 - 7; 3 - 9; 7 - 5; 9 - 5; 7 - 9"
"CHOYP_LOC101171340.1.1m.29474",21.033,2.9696e-06,5.5273,0.0012107,"5 - 11; 7 - 11; 9 - 11; 5 - 13; 7 - 13; 9 - 13; 5 - 15; 7 - 15; 9 - 15; 5 - 3; 7 - 3; 9 - 3; 7 - 5; 9 - 5"
"CHOYP_contig_048973m.58107",20.944,3.0478e-06,5.516,0.0012107,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_DSIM_GD24875.1.1m.66201",20.761,3.2157e-06,5.4927,0.0012193,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_DPSE_GA28568.5.9m.33670",20.375,3.6065e-06,5.4429,0.001308,"13 - 11; 13 - 15; 13 - 3; 13 - 5; 13 - 7; 13 - 9"
"CHOYP_LOC494408.1.1m.29208",19.656,4.4883e-06,5.3479,0.0015601,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7"
"CHOYP_LOC577338.1.1m.9819",19.333,4.9626e-06,5.3043,0.0016559,"3 - 11; 5 - 11; 15 - 13; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 15 - 7; 15 - 9; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_026700m.30399",18.851,5.7825e-06,5.2379,0.0018553,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ADAMTS16.1.1m.28149",17.672,8.5263e-06,5.0692,0.0026127,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9; 7 - 9"
"CHOYP_LOC100872507.1.1m.21152",17.589,8.7695e-06,5.057,0.0026127,"13 - 11; 15 - 11; 13 - 3; 13 - 5; 13 - 7; 13 - 9; 15 - 3; 15 - 5; 15 - 7; 15 - 9"
"CHOYP_PHUM_PHUM009400.1.1m.35298",17.203,1.0011e-05,4.9995,0.0028796,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_BRAFLDRAFT_105037.1.1m.17483",17.098,1.0381e-05,4.9838,0.0028866,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_LOC100371575.1.1m.10551",16.504,1.2806e-05,4.8926,0.0033926,"3 - 11; 7 - 11; 9 - 11; 3 - 13; 7 - 13; 9 - 13; 3 - 15; 7 - 15; 9 - 15; 7 - 3; 7 - 5; 7 - 9"
"CHOYP_contig_026959m.30676",16.459,1.3014e-05,4.8856,0.0033926,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_ACA1_091870.1.1m.43726",16.029,1.5221e-05,4.8176,0.0038477,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_contig_026129m.29781",15.884,1.6053e-05,4.7945,0.0039385,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ISCW_ISCW017709.1.1m.30040",15.769,1.6754e-05,4.7759,0.0039933,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 9 - 15; 3 - 9; 5 - 9"
"CHOYP_PEAR1.8.16m.41400",15.197,2.0802e-05,4.6819,0.0048204,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_CERS6.1.1m.5214",14.722,2.503e-05,4.6015,0.0056433,"13 - 11; 15 - 11; 5 - 11; 7 - 11; 9 - 11; 13 - 3; 15 - 3; 5 - 3; 7 - 3; 9 - 3"
"CHOYP_LOC589952.3.5m.29284",14.51,2.7232e-05,4.5649,0.0059781,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
