protein_ID,ClusterID,ClusterColor,3_23,5_23,7_23,9_23,11_23,13_23,3_29,5_29,7_29,9_29,11_29,13_29,PC1loadings,UniprotID,UniprotAC
CHOYP_LOC100710670.2.2.m.45011,1,black,-0.910170554267121,-1.25412337511629,-0.386417073570787,-0.544404536453387,0.882072005933406,-0.73190423952057,-0.405940135266482,0.0779750082476408,-0.727751946547979,1.92992954469328,1.40295712635262,0.667778175515673,0.00278301003276065,K1QI97,K1QI97_CRAGI
CHOYP_LOC101078542.1.1.m.44610,1,black,-1.18706918293037,-0.679058043940269,-1.34884478154299,0.158175378063131,0.308679693671964,-1.08550948827576,-0.638462521507365,0.0904295324198622,1.08865877874002,1.12932518974527,1.71216315510569,0.451512290450831,0.00355724619941853,K1QI97,K1QI97_CRAGI
CHOYP_LOC101155522.1.1.m.45101,5,magenta,-0.880200507101473,1.13447488854987,-0.368856193113956,0.993579113577584,-2.23002228727168,0.772761887582922,0.900386622417343,0.568798480003993,0.552253290428676,-0.721779981451681,-0.250208531942056,-0.471186781679543,0.00113305177712937,K1R3G2,K1R3G2_CRAGI
CHOYP_LOC575893.1.1.m.62614,2,darkorange1,-0.409042457458548,0.0610336715512806,-0.6369572917978,-1.06209715574387,0.334184346054716,0.94416680212337,-0.893964197000552,0.875854168905809,2.32464690616462,-1.08632945275603,-0.0847642991492359,-0.366731040893753,0.000475401508320299,K1PFL3,K1PFL3_CRAGI
CHOYP_LOC578260.1.1.m.21677,1,black,-1.18472230997579,-0.313876105690535,0.625043560303038,1.56473712660462,-1.18472230997579,-1.18472230997579,0.61953696195759,0.768661598231614,0.977406323618785,0.692789602650279,-0.195409827772249,-1.18472230997579,0.020883234634446,K1Q350,K1Q350_CRAGI
CHOYP_LRP5.1.3.m.18025,5,magenta,-0.604579202649868,0.00720781714884705,-0.879490447969521,-1.41401515074025,-1.21952009437414,-0.266899869893122,0.895298162100386,0.432222239710179,1.0836967387635,-0.15229284211025,0.0913777173056547,2.02699493270858,0.00563217389131516,K1QY50,K1QY50_CRAGI
CHOYP_MDHC.1.1.m.57053,1,black,-1.35379944672413,-0.479101242297166,-0.378074506243067,1.06785835025474,0.664815963225248,-1.19772396640386,-0.306464256738204,-0.239306498241366,-1.19798298275104,0.73274041010974,1.49277984813052,1.19425832767859,0.00170439465111956,K1PU26,K1PU26_CRAGI
CHOYP_MDHM.1.1.m.43603,1,black,-0.67973435563834,-2.01009084757476,-0.458725572223742,1.71281605090377,1.05899132801114,-0.0509201165737002,-0.313002830773195,-0.644322032195991,1.1965550507432,-0.359914157565449,0.226601691738713,0.321745791148355,0.000238299146328958,K1R4Z3,K1R4Z3_CRAGI
CHOYP_NEMVEDRAFT_V1G234225.1.1.m.49490,1,black,-2.01482280422677,-1.24504964598166,-0.719032248869233,0.469688991807557,0.803529361257146,0.0277342797750602,-0.363758797579547,-0.359050166112341,0.446742421281573,0.333254793469929,1.29988958721515,1.32087422796313,0.00211335838729872,A7M7T7,A7M7T7_CRAGI
CHOYP_PAN2.1.1.m.44691,3,darkmagenta,0.838803160401998,-0.808129509100399,0.748461982129487,-0.808129509100399,0.16626151166529,-0.808129509100399,0.624386783111445,-0.808129509100399,-0.808129509100399,0.151990798320778,2.3188728189734,-0.808129509100399,0.00164767513872984,Q8TA69,Q8TA69_CRAGI
CHOYP_PPIB.2.4.m.40019,4,springgreen,3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.0135620330116173,K1Q5P7,K1Q5P7_CRAGI
CHOYP_PRP6.2.2.m.34365,4,springgreen,1.27349216804166,1.44323931116103,1.54285858277758,-0.762712434333589,-0.762712434333589,-0.762712434333589,0.900395495926342,-0.762712434333589,0.17900148242851,-0.762712434333589,-0.762712434333589,-0.762712434333589,-0.025238470119125,K1R6D4,K1R6D4_CRAGI
CHOYP_SC31A.1.2.m.8241,5,magenta,0.472402041053154,-0.533141581210907,-0.296678779098957,-0.983243006392176,-0.73941649708774,-0.284982992197055,2.22363905123312,-0.51001920930109,1.66915355626589,-0.867817517385083,0.0905122342409862,-0.240407300120149,0.00257601134391569,K1PNQ5,K1PNQ5_CRAGI
CHOYP_SCP.8.12.m.57173,1,black,-1.97894440240311,-0.565742565447797,0.336053842851671,-0.0130200483824148,0.475867831403694,1.19612200847131,-1.51948146322767,-0.026533318732726,0.780752427968623,-0.54596800292416,0.780766133110966,1.08012755731162,0.001232550189331,K1PBH1,K1PBH1_CRAGI
CHOYP_STAR5.2.2.m.39352,2,darkorange1,-1.65610693305511,-1.19307109808801,-0.762363969632238,-0.483415584861968,0.251313539159217,1.36200842020468,-0.544862897072362,0.296076363559523,0.550821749020591,-0.375955339450939,1.33282284439131,1.22273290582531,0.00343290009592524,K1PIK9,K1PIK9_CRAGI
CHOYP_TRIADDRAFT_57086.1.1.m.25271,5,magenta,0.599324252759922,0.49526291152185,-0.808559656319119,0.540036602347907,-1.29859442839804,0.0980458906145275,-0.145859678258276,0.760012340520295,-0.742499412312646,-1.14097129515624,-0.583641077316181,2.227443549996,0.000272038532372471,K1R5R4,K1R5R4_CRAGI
CHOYP_UFD1L.1.1.m.43606,5,magenta,0.0202011237931548,1.45943131464872,-0.545259355447293,0.183421337489684,-0.418301531787536,1.08295746988175,0.17768012122162,0.415693980527184,-1.01311915813066,-2.00254182425914,1.25406938978867,-0.61423286772616,-0.00553401625987923,K1QUK1,K1QUK1_CRAGI
