protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_contig_039366.m.44569,0.1,15.54775,14.27025,13.75405,10.194,9.77145,15.652,16.91655,17.04105,11.32125,11.05295,11.36535,9,turquoise4
CHOYP_PPUTW619_2764.1.1.m.44946,1.0797,29.6409,28.38295,30.8574,22.7921,24.8919,23.97435,32.38215,36.3808,24.92585,20.08575,24.6376,9,turquoise4
CHOYP_GIGA2.1.1.m.44916,0.1,30.35515,33.2751,36.38335,26.2431,15.0475,30.2711,29.63955,20.59935,16.4661,28.1051,25.434,9,turquoise4
CHOYP_TYRO.1.1.m.38876,2.6356,12.22455,17.7874,19.0928,14.91465,5.8138,14.47835,22.8373,17.27135,15.63625,18.0752,14.7703,9,turquoise4
CHOYP_PGBM.2.3.m.44777,0.1,5.16255,3.08435,3.10735,1.6482,0.1,0.8166,3.3213,0.96195,2.3951,3.33155,1.50745,9,turquoise4
CHOYP_TVAG_106580.1.1.m.44429,0.9974,11.38615,9.83975,8.54385,4.9112,3.66805,8.7824,9.8448,8.3718,8.3974,7.24245,5.8517,9,turquoise4
CHOYP_LOC100711559.1.1.m.10313,46.5218,46.82915,61.03385,49.6907,37.17375,37.7152,46.23945,65.41655,86.17205,57.0898,53.194,67.9979,9,turquoise4
CHOYP_contig_041958.m.48141,125.73595,288.43815,334.24525,248.58245,288.91665,225.8463,173.0308,330.16185,417.46555,296.95655,287.7274,418.39595,9,turquoise4
CHOYP_LOC100030437.1.3.m.5994,1.6214,23.82645,7.42245,11.678,0.1,18.3747,0.1,11.7044,15.7826,9.4541,0.1,12.1782,9,turquoise4
CHOYP_AGAP_AGAP011617.1.2.m.29071,0.1,1.4318,1.12925,2.27705,0.80975,1.4782,1.13425,1.2182,1.3529,0.83315,1.2237,1.85555,9,turquoise4
CHOYP_HMCN2.9.12.m.44986,0.1,7.85235,7.172,6.62255,3.0338,4.29925,6.588,5.9321,7.85665,3.4666,2.4526,7.0062,9,turquoise4
CHOYP_HMCN1.19.44.m.39500,0.1,0.67575,1.06575,0.7158,0.23725,0.28085,0.7084,0.7651,1.0545,0.2345,0.24365,0.5228,9,turquoise4
CHOYP_VRP.2.4.m.18914,5.67775,22.87545,27.07695,23.2719,9.6249,16.94745,27.9773,22.7063,30.97875,9.34355,3.2576,16.6637,9,turquoise4
CHOYP_LOC100636493.1.1.m.65727,15.09895,25.0066,26.8999,25.1603,21.0009,26.9649,21.97455,26.1829,28.18185,19.55135,22.12495,24.94505,9,turquoise4
CHOYP_LOC658201.1.1.m.42880,27.02335,43.2452,47.87815,57.8242,33.031,58.9495,35.6605,64.096,85.0311,22.2476,36.01495,72.2915,9,turquoise4
CHOYP_ABCF2.1.2.m.28362,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795,394.90065,427.17515,461.9663,335.74685,268.42145,467.2112,9,turquoise4
CHOYP_BRAFLDRAFT_204736.2.2.m.63327,39.43645,64.6181,62.9981,65.4556,51.7511,78.2177,61.87515,69.0164,80.5989,59.25495,50.2844,74.93805,9,turquoise4
CHOYP_SELD.1.2.m.8600,63.1034,56.6995,72.36845,67.4032,61.70595,75.1894,57.60435,73.83815,85.88835,52.39415,50.82335,63.5444,14,purple
CHOYP_LOC100377856.1.2.m.13657,0.1,0.1,6.9196,0.1,0.1,6.184,0.1,0.1,10.11175,0.1,0.1,0.5335,14,purple
CHOYP_COX5B.3.3.m.38557,126.0457,108.05475,136.332,117.173,124.41615,110.85495,121.7949,137.33665,199.14415,135.40065,64.3383,127.771,14,purple
