gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
ERF3A,66.348,61.46905,74.07665,60.62515,59.5292,71.96035,78.4041,77.70605,77.4133,58.0043,73.8754,63.22505
FABP7,90.14285,103.99755,46.92605,74.49135,7.57035,12.0017,19.0129,34.53235,32.06865,57.123,52.29585,70.605
GSTA.1.1.m.54271,28.79825,64.2637,48.3882,63.056,35.0738,0,0,18.9925,9.77765,38.53965,0,30.9525
FAS,3.8151,1.67435,4.33945,1.74835,12.809,8.86395,10.7714,3.36515,10.4208,3.6996,12.31645,4.376
FLNA.2.6.m.11845,55.62715,64.52485,1.03215,93.7741,0.5269,77.60375,74.4623,1.6348,37.8434,93.08815,2.28805,45.25935
FLNA.2.5.m.37450,33.58835,35.2326,128.7836,49.4305,81.5414,35.2787,33.6706,112.16945,67.2842,40.89295,95.96065,77.0798
FND2,37.062,32.06815,28.99435,29.8689,4.67485,27.9809,29.84215,41.7236,35.46465,38.24055,30.7709,37.63385
ARPC5,71.90015,89.02415,87.65825,62.1597,53.00875,74.6415,60.66135,64.49085,67.376,66.7078,68.0045,73.72525
GELS2,261.33375,302.5395,265.40225,223.7161,189.6847,186.25985,171.94155,186.3178,175.9173,222.0647,166.17095,243.6469
GIGA2,26.2431,28.1051,15.0475,25.434,0,30.2711,30.35515,29.63955,33.2751,20.59935,36.38335,16.4661
GIGA6,72.94635,71.49345,64.54235,72.72175,10.74015,60.81085,61.84975,76.7592,69.2108,77.3614,69.6584,91.00445
BIP,110.4742,120.8535,151.07635,153.6893,123.3605,120.9052,108.79245,133.2981,114.31075,150.2686,104.82245,112.385
GST,58.64795,53.4011,60.6882,53.63915,191.6692,101.21115,151.0817,106.5251,85.10795,78.26165,85.4568,62.53545
GSTO1,82.63025,79.05825,79.37055,55.6458,65.2838,68.93415,61.8788,56.7422,61.07105,38.6141,53.32385,67.4178
HMCN1.19.44.m.39500,0.23725,0.24365,0.28085,0.5228,0,0.7084,0.67575,0.7651,1.06575,1.0545,0.7158,0.2345
HMCN1.23.44.m.42684,15.85235,14.1573,10.01845,16.8424,0.39705,15.71485,19.63705,21.03625,20.796,21.3516,19.29295,17.76
HMCN1.28.44.m.47379,2.8386,6.0352,3.44835,8.72325,0,0.18945,0,0.749,1.81075,1.99105,2.24375,5.49265
TITIN.9.12.m.44986,3.0338,2.4526,4.29925,7.0062,0,6.588,7.85235,5.9321,7.172,7.85665,6.62255,3.4666
HSP7D,207.90135,175.804,160.4684,206.88285,126.9403,146.89205,171.74285,182.0329,117.95255,199.51815,168.5778,201.44025
H90A1,180.12435,192.604,183.86705,180.31975,134.85675,167.22465,164.71895,191.9391,153.46425,144.59135,165.6975,193.4094
IDLC,54.0719,48.47095,65.52675,71.05135,84.6018,66.98745,95.66545,72.47815,56.1739,59.8258,62.30025,34.76475
