protein,PC1loadings
CHOYP_LOC100115577.1.1|m.21791,0.00122687508095884
CHOYP_LOC100115776.1.1|m.24729,0.0212071834500334
CHOYP_LOC100116049.1.1|m.54372,0.0189059044988513
CHOYP_LOC100116719.1.1|m.58,0.0151023927486109
CHOYP_LOC100116878.1.1|m.11654,0.0174140530932979
CHOYP_ARC1A.1.1|m.56263,-0.00222319115042075
CHOYP_LOC100116878.1.1|m.11655,0.0042375852820433
CHOYP_LOC100118063.2.4|m.29108,-0.0218565318222692
CHOYP_LOC100118098.1.1|m.14795,-0.000594079900587856
CHOYP_LOC100118291.1.1|m.54817,-0.00236079105712271
CHOYP_LOC100118811.1.1|m.57633,0.0123763329765602
CHOYP_LOC100119008.1.1|m.43229,-0.0115544762795952
CHOYP_LOC100119086.1.1|m.55425,0.00943078443067565
CHOYP_LOC100119577.1.1|m.47861,0.0185199416087633
CHOYP_LOC100119750.1.1|m.7019,0.0330721153046094
CHOYP_LOC100120123.1.1|m.12979,0.00244470502795522
CHOYP_ARF6.1.2|m.3974,0.0201875290977954
CHOYP_LOC100120260.1.1|m.41887,0.0143435474711985
CHOYP_LOC100120440.1.1|m.15371,-0.000338694655632891
CHOYP_LOC100120677.1.1|m.16799,-0.00819410313034496
CHOYP_LOC100120994.1.1|m.54109,0.019007954911033
CHOYP_LOC100121363.1.1|m.46369,0.00403661415348014
CHOYP_LOC100121687.1.1|m.57141,0.00983083614928312
CHOYP_LOC100121999.3.4|m.54805,-0.0166200384112117
CHOYP_LOC100122037.1.1|m.12516,0.0173164983330042
CHOYP_LOC100122067.1.1|m.49811,0.0126068321174041
CHOYP_LOC100122269.1.1|m.8408,-0.000539287750847885
CHOYP_ARHGAP8.1.1|m.25503,0.0285144836305828
CHOYP_LOC100123216.1.1|m.28671,0.00298741249270141
CHOYP_LOC100123890.1.1|m.11450,0.00980442606818038
CHOYP_LOC100123907.1.1|m.2987,0.00895278548793963
CHOYP_LOC100142249.1.1|m.55762,-0.0195996518805115
CHOYP_LOC100150876.1.1|m.61100,0.000321509587102159
CHOYP_LOC100160077.1.1|m.62645,0.0170891882228838
CHOYP_LOC100161158.1.1|m.14383,0.0234896981099023
CHOYP_LOC100161360.1.1|m.65809,0.0147063238787197
CHOYP_LOC100164899.1.1|m.59665,0.00191062530897205
CHOYP_LOC100165581.1.1|m.18008,0.00898003920853545
CHOYP_AAEL_AAEL002467.1.2|m.47358,0
CHOYP_ARI2.1.1|m.34963,0.00140885706241511
CHOYP_LOC100165685.1.1|m.13583,0.00590843692413481
CHOYP_LOC100166353.1.1|m.4625,0.0238045362016789
CHOYP_LOC100168017.1.1|m.40316,-0.00417858624426311
CHOYP_LOC100168209.1.1|m.26697,-0.00563750913275025
CHOYP_LOC100168368.1.1|m.18551,0.0211916326303488
CHOYP_LOC100168945.1.1|m.37004,-0.00254113964349375
CHOYP_LOC100169229.1.1|m.25981,0.00115226003620806
CHOYP_LOC100169297.1.1|m.48433,0.0127722298828883
CHOYP_LOC100169460.1.1|m.41302,0.00614479530653797
CHOYP_LOC100174996.1.1|m.27300,0.0315827772623211
CHOYP_ARI4B.1.1|m.56056,0.0031089798034538
CHOYP_LOC100175722.1.3|m.11427,0.000426013979869881
CHOYP_LOC100175867.1.1|m.48982,0.0235605496418235
CHOYP_LOC100176232.1.1|m.24645,0.0208213962254575
CHOYP_LOC100176799.1.1|m.3132,0
CHOYP_LOC100177459.1.2|m.48730,0.0300180592250878
CHOYP_LOC100177679.1.1|m.54177,0.0224614925624999
CHOYP_LOC100178400.1.1|m.4321,0.0275158905905652
CHOYP_LOC100179300.1.2|m.22734,-0.00452540888090944
CHOYP_LOC100179516.2.2|m.49937,0.00432270080649043
CHOYP_LOC100180023.4.7|m.33650,0.0198658633788387
CHOYP_ARID3A.1.1|m.55743,0.00741866630440028
CHOYP_LOC100180023.5.7|m.56825,0.0104995173385204
CHOYP_LOC100180543.1.1|m.4746,0.0123373055597359
CHOYP_LOC100180855.2.4|m.46097,0.0147989743320886
CHOYP_LOC100180883.1.1|m.46611,0.00667508469907158
CHOYP_LOC100181095.1.1|m.8314,0.010276005656227
CHOYP_LOC100181343.1.1|m.59214,0.00105240314264702
CHOYP_LOC100181350.1.1|m.2782,-0.000652465926361042
CHOYP_LOC100181355.1.1|m.48652,-0.010883129110333
CHOYP_LOC100181607.1.2|m.36709,0.0399016533042265
CHOYP_LOC100181826.1.1|m.16288,0.00464159455840327
CHOYP_ARIP4.3.3|m.33366,-0.0055065629251477
CHOYP_LOC100182131.1.1|m.26023,-0.00747491406131266
CHOYP_LOC100182585.1.2|m.2597,0.0139574228683843
CHOYP_LOC100183353.1.1|m.54920,0.00320212619840512
CHOYP_LOC100183682.1.1|m.61630,0.00576161419502345
CHOYP_LOC100184451.1.8|m.30146,-0.0108978342905098
CHOYP_LOC100184874.1.1|m.41851,0.0332511987101936
CHOYP_LOC100185271.1.1|m.19210,0.0218038377924667
CHOYP_LOC100185431.1.1|m.43063,0.00705136685376111
CHOYP_LOC100185443.1.1|m.60976,0.0142991042731065
CHOYP_LOC100185472.1.1|m.66178,0.00908685138809904
CHOYP_ARL6.1.2|m.29833,0.0160607342054563
CHOYP_LOC100186203.1.1|m.7875,0.0149198899106114
CHOYP_LOC100186203.1.1|m.7876,0.00113296506285924
CHOYP_LOC100186733.1.1|m.7066,-0.000151294464336484
CHOYP_LOC100187348.1.1|m.29904,0.00125330238304922
CHOYP_LOC100197130.2.2|m.39076,-0.00173382891161893
CHOYP_LOC100199222.1.1|m.17588,0.0359796400869619
CHOYP_LOC100199379.1.2|m.59875,-0.0100882515170418
CHOYP_LOC100199505.1.2|m.19947,-0.00181608679954343
CHOYP_LOC100199980.1.2|m.51259,0.00137008117054738
CHOYP_LOC100199980.2.2|m.62746,0.00462391283467507
CHOYP_ARL8A.1.1|m.12151,0.0200530614496268
CHOYP_LOC100201155.1.1|m.58066,-1.64739674891e-07
