CHOYP_LOC100367166.1.1.m.1262	GO:0003723;GO:0004842;GO:0005634;GO:0005737;GO:0006511;GO:0016567;GO:0030014;GO:0045652;GO:0046872;GO:0051865
CHOYP_LOC100367201.2.2.m.61573	GO:0003677;GO:0005634;GO:0005737;GO:0005829;GO:0006915;GO:0008201;GO:0008285;GO:0010628;GO:0010698;GO:0043065;GO:0043280;GO:0048487;GO:0071560;GO:0090200;GO:1903638;GO:1903645
CHOYP_LOC100368360.1.1.m.9672	
CHOYP_LOC100369721.1.1.m.17704	GO:0006742;GO:0009435;GO:0033735;GO:0050661
CHOYP_LOC100371761.1.1.m.57462	GO:0001558;GO:0001919;GO:0005764;GO:0005765;GO:0005886;GO:0007032;GO:0007040;GO:0010872;GO:0010874;GO:0016197;GO:0031902;GO:0032008;GO:0032418;GO:0034613;GO:0042632;GO:0043410;GO:0045121;GO:0060620;GO:0071230;GO:0071986
CHOYP_LOC100373289.1.2.m.7904	GO:0005634;GO:0005730;GO:0042273;GO:0043231
CHOYP_LOC100374522.1.1.m.66943	GO:0005730;GO:0005737;GO:0030154
CHOYP_LOC100374741.72.83.m.60196	GO:0000209;GO:0004842;GO:0005737;GO:0008270;GO:0017022;GO:0043161;GO:0043523;GO:0061630;GO:1990830
CHOYP_LOC100375204.2.2.m.21490	GO:0000815;GO:0005771;GO:0005829;GO:0015031;GO:0031902;GO:0032509;GO:0045324
CHOYP_LOC100375405.1.1.m.48387	GO:0002091;GO:0005137;GO:0005654;GO:0005737;GO:0005789;GO:0005829;GO:0005856;GO:0005886;GO:0005895;GO:0005925;GO:0007265;GO:0007268;GO:0007346;GO:0008022;GO:0008284;GO:0008289;GO:0010718;GO:0010862;GO:0019838;GO:0030036;GO:0030307;GO:0030335;GO:0030511;GO:0031965;GO:0032435;GO:0042043;GO:0042470;GO:0042803;GO:0045121;GO:0045545;GO:0046875;GO:0046982;GO:0050839;GO:0070062;GO:0099054
CHOYP_LOC100376187.2.2.m.55240	GO:0016491;GO:0016616;GO:0033721;GO:0050662;GO:1901426
CHOYP_LOC100376200.1.1.m.19157	GO:0005634;GO:0006281;GO:0006974;GO:0010212;GO:0070876
CHOYP_LOC100376908.1.4.m.112	GO:0000381;GO:0002244;GO:0003723;GO:0005634;GO:0016607;GO:0045292;GO:0048025;GO:1990825
CHOYP_LOC100378619.1.2.m.21468	GO:0005198;GO:0005635;GO:0005737;GO:0005882;GO:0008283
CHOYP_LOC100533330.1.2.m.2565	GO:0003924;GO:0005525;GO:0005768;GO:0005886;GO:0006886;GO:0006904;GO:0007269;GO:0008021;GO:0009306;GO:0016192;GO:0017157;GO:0030054;GO:0031630;GO:0031982;GO:0032482;GO:0045202;GO:0048172;GO:0048786;GO:0048789;GO:0048790;GO:0072659
CHOYP_LOC100533384.3.5.m.37350	GO:0003723;GO:0007399;GO:0030154
CHOYP_LOC100561086.1.1.m.13015	GO:0005634;GO:0005829;GO:0016491;GO:0110095
